handle,title,tag_count,flagged,near_duplicate_groups,all_tags
standard-foundation-box-spring,"Standard Profile 9"" Box Spring Universal Flat Foundation",9,yes,foundation | standard foundation  ;;  Size_Twin | Size_Twin XL,"box spring, foundation, Size_CA King, Size_Full, Size_King, Size_Queen, Size_Twin, Size_Twin XL, standard foundation"
twin-xl-restonic-mattress-clearance-enchantment-latex-firm-12,"Twin XL Restonic Natural Latex Collection Enchantment Firm 12"" FLOOR SAMPLE Clearance Mattress",11,yes,Firm Mattresses | mattress,"All, Back and Stomach, Brand_Restonic, clearance, Firm Mattresses, height-10-12, mattress, natural latex, Size_Twin XL, Twin XL Size Mattress Sale, Type_Latex"
low-profile-flat-box-spring-mattress-foundation,"Low Profile 4"" Box Spring Flat Universal Foundation",8,yes,foundation | low profile foundation  ;;  Size_Twin | Size_Twin XL,"foundation, low profile foundation, Size_CA King, Size_Full, Size_King, Size_Queen, Size_Twin, Size_Twin XL"
bunkie-board-mattress-foundation,"Bunkie Board 2"" Ultra Low Flat Foundation",9,yes,Size_Twin | Size_Twin XL,"bunkie board, daybed_suggestions, foundation, Size_CA King, Size_Full, Size_King, Size_Queen, Size_Twin, Size_Twin XL"
tempur-pedic-tempur-proadapt-soft-mattress,"Tempur-Pedic TEMPUR-ProAdapt® Soft 12"" Mattress",55,yes,Brand_Tempur-Pedic | Tempur  ;;  California King Innerspring Mattresses | Full Innerspring Mattresses | Innerspring Mattresses | Innerspring Queen Size Mattresses | Innerspring Twin Size Mattresses | King Hybrid Mattresses | King Innerspring Mattresses | King Memory Foam Mattresses | mattress | Tempur-Pedic California King Size Mattresses | Tempur-Pedic King Size Mattresses | Twin XL Innerspring Mattresses  ;;  Foam Mattress | Full Memory Foam Mattresses | Memory Foam Mattresses | Twin XL Memory Foam Mattresses  ;;  Full Size Mattress Sale | Mattress Sale | Queen Size Mattress Sale | Tempur Pedic Full Size Mattresses | Twin Size Mattress Sale | Twin XL Size Mattress Sale  ;;  Gel Memory Foam | Memory Foam | Memory Foam Queen Mattresses | Memory Foam Twin Size Mattresses  ;;  Hybrid Mattresses | Hybrid Queen Size Mattresses | Tempur-Pedic Queen Hybrid Mattresses | Twin Hybrid Mattresses | Twin XL Hybrid Mattresses  ;;  Size_Split CA king | Size_Split King  ;;  Size_Twin | Size_Twin XL  ;;  Tempur-Pedic Full Bed in a Box Mattresses | Tempur-Pedic Queen Size Mattresses | Tempur-Pedic Twin Size Mattresses | Tempur-Pedic Twin XL Mattresses,"Brand_Tempur-Pedic, California King Innerspring Mattresses, Feature_Adjustable Friendly, Foam Mattress, Full Innerspring Mattresses, Full Memory Foam Mattresses, Full Size Mattress Sale, Gel Memory Foam, height-10-12, Hybrid Mattresses, Hybrid Queen Size Mattresses, Innerspring Mattresses, Innerspring Queen Size Mattresses, Innerspring Twin Size Mattresses, King Hybrid Mattresses, King Innerspring Mattresses, King Memory Foam Mattresses, made in usa, mattress, Mattress Sale, memorial-day, Memory Foam, Memory Foam Mattresses, Memory Foam Queen Mattresses, Memory Foam Twin Size Mattresses, Non-Toxic, Plush, Queen Size Mattress Sale, rating-4plus, Side, Size_CA King, Size_Full, Size_King, Size_Queen, Size_Split CA king, Size_Split King, Size_Twin, Size_Twin XL, Tempur, Tempur Pedic Full Size Mattresses, Tempur-Pedic California King Size Mattresses, Tempur-Pedic Full Bed in a Box Mattresses, Tempur-Pedic King Size Mattresses, Tempur-Pedic Queen Hybrid Mattresses, Tempur-Pedic Queen Size Mattresses, Tempur-Pedic Twin Size Mattresses, Tempur-Pedic Twin XL Mattresses, Twin Hybrid Mattresses, Twin Size Mattress Sale, Twin XL Hybrid Mattresses, Twin XL Innerspring Mattresses, Twin XL Memory Foam Mattresses, Twin XL Size Mattress Sale, Type_Gel Foam, Type_Memory Foam"
tempur-pedic-tempur-proadapt-medium-hybrid,"Tempur-Pedic TEMPUR-ProAdapt® Medium Hybrid 12"" Mattress",70,yes,Brand_Tempur-Pedic | Tempur  ;;  California King Innerspring Mattresses | Full Innerspring Mattresses | Innerspring Mattresses | Innerspring Queen Size Mattresses | Innerspring Twin Size Mattresses | King Hybrid Mattresses | King Innerspring Mattresses | King Memory Foam Mattresses | mattress | Medium California King Hybrid Mattresses | Medium King Size Mattresses | Plush Innerspring Mattresses | Tempur-Pedic California King Size Mattresses | Tempur-Pedic King Size Mattresses | Twin XL Innerspring Mattresses  ;;  Full Memory Foam Mattresses | Gel Memory Foam | Medium Full Size Mattresses | Memory Foam | Memory Foam Mattresses | Memory Foam Queen Mattresses | Memory Foam Twin Size Mattresses | Tempur Pedic Full Size Mattresses | Tempur-Pedic Full Bed in a Box Mattresses | Twin XL Memory Foam Mattresses  ;;  Full Size Mattress Sale | Mattress Sale | Queen Size Mattress Sale | Twin Size Mattress Sale | Twin XL Size Mattress Sale  ;;  Hybrid | Hybrid Mattresses | Hybrid Queen Size Mattresses | Medium Hybrid Mattresses | Plush Hybrid Mattresses | Tempur-Pedic Queen Hybrid Mattresses | Twin Hybrid Mattresses | Twin XL Hybrid Mattresses  ;;  Medium Mattresses | Medium Queen Size Mattresses | Medium Twin Size Mattresses | Medium Twin XL Size Mattresses  ;;  Size_Split CA king | Size_Split King  ;;  Size_Twin | Size_Twin XL  ;;  Tempur-Pedic Queen Size Mattresses | Tempur-Pedic Twin Size Mattresses | Tempur-Pedic Twin XL Mattresses,"All, Back and Stomach, Brand_Tempur-Pedic, California King Innerspring Mattresses, Feature_Adjustable Friendly, Full Innerspring Mattresses, Full Memory Foam Mattresses, Full Size Mattress Sale, Gel Memory Foam, height-10-12, Hybrid, Hybrid Mattresses, Hybrid Queen Size Mattresses, Innerspring Mattresses, Innerspring Queen Size Mattresses, Innerspring Twin Size Mattresses, King Hybrid Mattresses, King Innerspring Mattresses, King Memory Foam Mattresses, Luxe_Collection, made in usa, mattress, Mattress Sale, Medium California King Hybrid Mattresses, Medium Full Size Mattresses, Medium Hybrid Mattresses, Medium King Size Mattresses, Medium Mattresses, Medium Queen Size Mattresses, Medium Twin Size Mattresses, Medium Twin XL Size Mattresses, memorial-day, Memory Foam, Memory Foam Mattresses, Memory Foam Queen Mattresses, Memory Foam Twin Size Mattresses, Non-Toxic, Plush, Plush Hybrid Mattresses, Plush Innerspring Mattresses, popular, Queen Size Mattress Sale, rating-5, Side, Size_CA King, Size_Full, Size_King, Size_Queen, Size_Split CA king, Size_Split King, Size_Twin, Size_Twin XL, Tempur, Tempur Pedic Full Size Mattresses, Tempur-Pedic California King Size Mattresses, Tempur-Pedic Full Bed in a Box Mattresses, Tempur-Pedic King Size Mattresses, Tempur-Pedic Queen Hybrid Mattresses, Tempur-Pedic Queen Size Mattresses, Tempur-Pedic Twin Size Mattresses, Tempur-Pedic Twin XL Mattresses, Twin Hybrid Mattresses, Twin Size Mattress Sale, Twin XL Hybrid Mattresses, Twin XL Innerspring Mattresses, Twin XL Memory Foam Mattresses, Twin XL Size Mattress Sale, Type_Gel Foam, Type_Memory Foam, Type_Pocketed Coil"
tempur-pedic-tempur-proadapt-firm-mattress,"Tempur-Pedic TEMPUR-ProAdapt® Firm 12"" Mattress",53,yes,Brand_Tempur-Pedic | Tempur  ;;  California King Innerspring Mattresses | Firm King Memory Foam Mattresses | Firm King Size Mattresses | Full Innerspring Mattresses | Innerspring Mattresses | Innerspring Queen Size Mattresses | Innerspring Twin Size Mattresses | King Hybrid Mattresses | King Innerspring Mattresses | King Memory Foam Mattresses | mattress | Tempur-Pedic California King Size Mattresses | Tempur-Pedic King Size Mattresses | Twin XL Innerspring Mattresses  ;;  Firm | Firm Full Size Mattresses | Firm Mattresses | Firm Memory Foam | Firm Queen Memory Foam Mattresses | Firm Queen Size Mattress | Firm Twin Size Mattresses  ;;  Foam Mattress | Full Memory Foam Mattresses | Memory Foam Mattresses | Twin XL Memory Foam Mattresses  ;;  Hybrid Mattresses | Hybrid Queen Size Mattresses | Tempur-Pedic Queen Hybrid Mattresses | Twin Hybrid Mattresses | Twin XL Hybrid Mattresses  ;;  Memory Foam Queen Mattresses | Memory Foam Twin Size Mattresses | Tempur-Pedic Queen Size Mattresses  ;;  Size_Split CA king | Size_Split King  ;;  Size_Twin | Size_Twin XL  ;;  Tempur Pedic Full Size Mattresses | Tempur-Pedic Full Bed in a Box Mattresses | Tempur-Pedic Twin Size Mattresses,"Back and Stomach, best seller, best selling, Brand_Tempur-Pedic, California King Innerspring Mattresses, Firm, Firm Full Size Mattresses, Firm King Memory Foam Mattresses, Firm King Size Mattresses, Firm Mattresses, Firm Memory Foam, Firm Queen Memory Foam Mattresses, Firm Queen Size Mattress, Firm Twin Size Mattresses, Foam Mattress, Full Innerspring Mattresses, Full Memory Foam Mattresses, height-10-12, Hybrid Mattresses, Hybrid Queen Size Mattresses, Innerspring Mattresses, Innerspring Queen Size Mattresses, Innerspring Twin Size Mattresses, King Hybrid Mattresses, King Innerspring Mattresses, King Memory Foam Mattresses, mattress, Memory Foam Mattresses, Memory Foam Queen Mattresses, Memory Foam Twin Size Mattresses, rating-5, Size_CA King, Size_Full, Size_King, Size_Queen, Size_Split CA king, Size_Split King, Size_Twin, Size_Twin XL, Tempur, Tempur Pedic Full Size Mattresses, Tempur-Pedic California King Size Mattresses, Tempur-Pedic Full Bed in a Box Mattresses, Tempur-Pedic King Size Mattresses, Tempur-Pedic Queen Hybrid Mattresses, Tempur-Pedic Queen Size Mattresses, Tempur-Pedic Twin Size Mattresses, Tempur-Pedic Twin XL Mattresses, Twin Hybrid Mattresses, Twin XL Hybrid Mattresses, Twin XL Innerspring Mattresses, Twin XL Memory Foam Mattresses, Type_Memory Foam"
tempur-pedic-tempur-luxeadapt-firm-mattress,"Tempur-Pedic TEMPUR-LuxeAdapt® 13"" Firm Mattress",50,yes,Brand_Tempur-Pedic | Tempur  ;;  California King Innerspring Mattresses | Firm King Memory Foam Mattresses | Firm King Size Mattresses | Full Innerspring Mattresses | Innerspring Mattresses | Innerspring Queen Size Mattresses | Innerspring Twin Size Mattresses | King Hybrid Mattresses | King Innerspring Mattresses | King Memory Foam Mattresses | mattress | Tempur-Pedic California King Size Mattresses | Tempur-Pedic King Size Mattresses | Twin XL Innerspring Mattresses  ;;  Firm | Firm Full Size Mattresses | Firm Mattresses | Firm Memory Foam | Firm Queen Memory Foam Mattresses | Firm Queen Size Mattress | Firm Twin Size Mattresses  ;;  Foam Mattress | Full Memory Foam Mattresses | Memory Foam Mattresses | Twin XL Memory Foam Mattresses  ;;  Hybrid Mattresses | Hybrid Queen Size Mattresses | Tempur-Pedic Queen Hybrid Mattresses | Twin Hybrid Mattresses | Twin XL Hybrid Mattresses  ;;  Memory Foam Queen Mattresses | Memory Foam Twin Size Mattresses | Tempur-Pedic Queen Size Mattresses  ;;  Size_Split CA king | Size_Split King  ;;  Tempur Pedic Full Size Mattresses | Tempur-Pedic Full Bed in a Box Mattresses | Tempur-Pedic Twin Size Mattresses,"best selling, Brand_Tempur-Pedic, California King Innerspring Mattresses, Firm, Firm Full Size Mattresses, Firm King Memory Foam Mattresses, Firm King Size Mattresses, Firm Mattresses, Firm Memory Foam, Firm Queen Memory Foam Mattresses, Firm Queen Size Mattress, Firm Twin Size Mattresses, Foam Mattress, Full Innerspring Mattresses, Full Memory Foam Mattresses, height-12-14, Hybrid Mattresses, Hybrid Queen Size Mattresses, Innerspring Mattresses, Innerspring Queen Size Mattresses, Innerspring Twin Size Mattresses, King Hybrid Mattresses, King Innerspring Mattresses, King Memory Foam Mattresses, mattress, Memory Foam Mattresses, Memory Foam Queen Mattresses, Memory Foam Twin Size Mattresses, rating-5, Size_CA King, Size_King, Size_Queen, Size_Split CA king, Size_Split King, Size_Twin XL, Tempur, Tempur Pedic Full Size Mattresses, Tempur-Pedic California King Size Mattresses, Tempur-Pedic Full Bed in a Box Mattresses, Tempur-Pedic King Size Mattresses, Tempur-Pedic Queen Hybrid Mattresses, Tempur-Pedic Queen Size Mattresses, Tempur-Pedic Twin Size Mattresses, Tempur-Pedic Twin XL Mattresses, Twin Hybrid Mattresses, Twin XL Hybrid Mattresses, Twin XL Innerspring Mattresses, Twin XL Memory Foam Mattresses, type_cool, Type_Memory Foam"
tempur-pedic-tempur-adapt-medium-mattress,"Tempur-Pedic TEMPUR-Adapt® 11"" Medium Mattress",54,yes,Brand_Tempur-Pedic | Tempur  ;;  California King Innerspring Mattresses | Full Innerspring Mattresses | Innerspring Mattresses | Innerspring Queen Size Mattresses | Innerspring Twin Size Mattresses | King Hybrid Mattresses | King Innerspring Mattresses | King Memory Foam Mattresses | mattress | Medium King Size Mattresses | Tempur-Pedic California King Size Mattresses | Tempur-Pedic King Size Mattresses | Twin XL Innerspring Mattresses  ;;  Foam Mattress | Full Memory Foam Mattresses | Medium Memory Foam Mattresses | Medium Twin Foam Mattresses | Memory Foam Mattresses | Twin XL Memory Foam Mattresses  ;;  Hybrid Mattresses | Hybrid Queen Size Mattresses | Tempur-Pedic Queen Hybrid Mattresses | Twin Hybrid Mattresses | Twin XL Hybrid Mattresses  ;;  Medium | Medium Full Size Mattresses | Medium Mattresses | Medium Queen Size Mattresses | Medium Twin Size Mattresses | Medium Twin XL Size Mattresses  ;;  Memory Foam Queen Mattresses | Memory Foam Twin Size Mattresses | Tempur-Pedic Queen Size Mattresses  ;;  Size_Split CA king | Size_Split King  ;;  Size_Twin | Size_Twin XL  ;;  Tempur Pedic Full Size Mattresses | Tempur-Pedic Full Bed in a Box Mattresses | Tempur-Pedic Twin Size Mattresses,"All, best selling, Brand_Tempur-Pedic, California King Innerspring Mattresses, Foam Mattress, Full Innerspring Mattresses, Full Memory Foam Mattresses, height-10-12, Hybrid Mattresses, Hybrid Queen Size Mattresses, Innerspring Mattresses, Innerspring Queen Size Mattresses, Innerspring Twin Size Mattresses, King Hybrid Mattresses, King Innerspring Mattresses, King Memory Foam Mattresses, mattress, Medium, Medium Full Size Mattresses, Medium King Size Mattresses, Medium Mattresses, Medium Memory Foam Mattresses, Medium Queen Size Mattresses, Medium Twin Foam Mattresses, Medium Twin Size Mattresses, Medium Twin XL Size Mattresses, memorial-day, Memory Foam Mattresses, Memory Foam Queen Mattresses, Memory Foam Twin Size Mattresses, rating-5, Side, Size_CA King, Size_Full, Size_King, Size_Queen, Size_Split CA king, Size_Split King, Size_Twin, Size_Twin XL, Tempur, Tempur Pedic Full Size Mattresses, Tempur-Pedic California King Size Mattresses, Tempur-Pedic Full Bed in a Box Mattresses, Tempur-Pedic King Size Mattresses, Tempur-Pedic Queen Hybrid Mattresses, Tempur-Pedic Queen Size Mattresses, Tempur-Pedic Twin Size Mattresses, Tempur-Pedic Twin XL Mattresses, Twin Hybrid Mattresses, Twin XL Hybrid Mattresses, Twin XL Innerspring Mattresses, Twin XL Memory Foam Mattresses, Type_Memory Foam"
rock-extra-firm-mattress-diamond-mattress,"Diamond Rock Extra Firm 12"" Mattress",60,yes,Brand_Diamond | Diamond  ;;  California King Innerspring Mattresses | Diamond California King Size Mattresses | Diamond Innerspring Mattresses | Diamond King Innerspring Mattresses | Diamond King Mattresses | Extra Firm California King Size Mattresses | Extra Firm Innerspring Mattresses | Extra Firm King Size Mattresses | Extra Firm Queen Innerspring Mattresses | Firm King Size Mattresses | Full Innerspring Mattresses | Innerspring Mattresses | Innerspring Queen Size Mattresses | Innerspring Twin Size Mattresses | King Hybrid Mattresses | King Innerspring Mattresses | mattress | Twin XL Innerspring Mattresses  ;;  Diamond Full Size Mattresses | Diamond Hybrid Mattresses | Diamond Mattresses | Diamond Queen Mattresses | Diamond Twin Size Mattresses | Diamond Twin XL Size Mattresses | Extra Firm Full Size Mattresses | Extra Firm Queen Size Mattresses | Extra Firm Twin Size Mattresses | Extra Firm Twin XL Size Mattresses | Firm Diamond Mattresses | Firm Diamond Queen Mattresses | Firm Full Size Mattresses | Firm Twin Size Mattresses | Hybrid Queen Size Mattresses  ;;  Extra Firm | Extra Firm Mattresses | Extra Firm Memory Foam Mattresses  ;;  Firm Bed in a Box Mattresses | Firm Mattresses  ;;  Hybrid Mattresses | Twin Hybrid Mattresses | Twin XL Hybrid Mattresses  ;;  Size_Twin | Size_Twin XL,"Back and Stomach, Brand_Diamond, California King Innerspring Mattresses, CertiPUR-US, Diamond, Diamond California King Size Mattresses, Diamond Full Size Mattresses, Diamond Hybrid Mattresses, Diamond Innerspring Mattresses, Diamond King Innerspring Mattresses, Diamond King Mattresses, Diamond Mattresses, Diamond Queen Mattresses, Diamond Twin Size Mattresses, Diamond Twin XL Size Mattresses, encasement, Extra Firm, Extra Firm California King Size Mattresses, Extra Firm Full Size Mattresses, Extra Firm Innerspring Mattresses, Extra Firm King Size Mattresses, Extra Firm Mattresses, Extra Firm Memory Foam Mattresses, Extra Firm Queen Innerspring Mattresses, Extra Firm Queen Size Mattresses, Extra Firm Twin Size Mattresses, Extra Firm Twin XL Size Mattresses, Firm Bed in a Box Mattresses, Firm Diamond Mattresses, Firm Diamond Queen Mattresses, Firm Full Size Mattresses, Firm King Size Mattresses, Firm Mattresses, Firm Queen Size Mattress, Firm Twin Size Mattresses, Full Innerspring Mattresses, height-10-12, Hybrid Mattresses, Hybrid Queen Size Mattresses, Innerspring Mattresses, Innerspring Queen Size Mattresses, Innerspring Twin Size Mattresses, King Hybrid Mattresses, King Innerspring Mattresses, made in usa, mattress, memorial-day, Non-Toxic, popular, rating-3plus, Size_CA King, Size_Full, Size_King, Size_Queen, Size_Twin, Size_Twin XL, Twin Hybrid Mattresses, Twin XL Hybrid Mattresses, Twin XL Innerspring Mattresses, Type_Innerspring"
